City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Tomatlan,MX,77.95,broken clouds,19.9333,-105.25,El Salvial
292,Atikokan,CA,65.03,scattered clouds,48.7555,-91.6216,Quetico Inn (formerly Radisson)
293,Goderich,CA,70.12,clear sky,43.7501,-81.7165,Harmony Inn
298,Bayshore Gardens,US,84.99,overcast clouds,27.4253,-82.5904,Ramada by Wyndham Sarasota Waterfront
299,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
300,Tondano,ID,78.89,overcast clouds,1.3038,124.9112,Villa Bella
302,Avanigadda,IN,88.63,broken clouds,16.0215,80.9181,AP Camping
305,Lincoln,US,79.14,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
306,Pangai,TO,75.31,light intensity shower rain,-19.8,-174.35,Ha'apai Beach Resort
309,Ewo,CG,75.33,light rain,-0.8725,14.8206,Residence Elonda Ewo
310,Tarare,FR,71.62,scattered clouds,45.8976,4.4327,Le Saint Clement
311,Dongsheng,CN,73.49,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
312,Kavaratti,IN,80.76,overcast clouds,10.5669,72.642,Green leaf
313,Benguela,AO,66.63,clear sky,-12.5763,13.4055,Hotel Praia Morena
316,Saint-Georges,GD,79.61,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
317,Kati,ML,74.61,scattered clouds,12.7441,-8.0726,Lingot d’or
319,Belmonte,BR,71.49,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
324,Kavieng,PG,82.76,light rain,-2.5744,150.7967,Nusa Island Retreat
325,Tuktoyaktuk,CA,66.2,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
326,Ta Khmau,KH,87.85,scattered clouds,11.4833,104.95,Takhmao Good Health Hotel
327,Elmira,US,73.72,broken clouds,42.0898,-76.8077,Mark Twain Motor Inn
331,Guerrero Negro,MX,70.84,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
332,Nanakuli,US,80.55,overcast clouds,21.3906,-158.1547,Camp Pālehua
336,Gimli,CA,78.82,broken clouds,50.6336,-96.9907,Lakeview Gimli Resort
337,Mazagao,BR,75.25,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
338,Sarangani,PH,82.65,light rain,5.4033,125.4636,JVL Inn and Cafeteria
339,Teguise,ES,68.22,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
340,Talnakh,RU,65.21,broken clouds,69.4865,88.3972,Talnakh Hotel
342,Zeya,RU,76.08,light rain,53.75,127.2667,Kapital Inn
344,Meulaboh,ID,83.08,overcast clouds,4.1363,96.1285,Kost Pria
345,Half Moon Bay,US,73.31,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
347,Mana,GF,77.14,overcast clouds,5.6592,-53.7767,LE SAMANA
348,San Patricio,US,84.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
349,Oussouye,SN,78.98,overcast clouds,12.485,-16.5469,Auberge du Routard
350,Grafton,US,74.71,light rain,42.207,-71.6856,The Grafton Inn
352,Hoffman Estates,US,79.52,clear sky,42.0428,-88.0798,Hilton Garden Inn Schaumburg
355,Konolfingen,CH,65.77,clear sky,46.8791,7.6201,Schloss Hünigen
356,Tiarei,PF,78.82,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
357,Ayagoz,KZ,73.78,clear sky,47.9714,80.4392,ХАН
358,Price,US,83.46,clear sky,39.5994,-110.8107,National 9 - Price River Inn
362,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
367,Griffith,US,79.9,clear sky,41.5284,-87.4237,Apartment above Depot Bar
369,Hanyang,CN,67.23,overcast clouds,32.1371,105.5126,Forestry Hostel
372,Dudinka,RU,65.62,broken clouds,69.4058,86.1778,Hotel Viktoria
373,Kutum,SD,75.06,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
374,Pathein,MM,87.73,overcast clouds,16.7833,94.7333,Pathein Hotel
375,Santa Rita,BR,74.07,scattered clouds,-7.1139,-34.9781,Infinity Motel
376,Sao Sebastiao,BR,68.36,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
377,Bensonville,LR,72.99,overcast clouds,6.4461,-10.6125,Moinga
378,Atambua,ID,80.46,broken clouds,-9.1061,124.8925,Kost Alfa Flat
380,Carmarthen,GB,80.53,broken clouds,51.8555,-4.3054,Ivy Bush Royal Hotel by Compass Hospitality
382,Buchanan,LR,74.86,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
384,Benicarlo,ES,78.91,clear sky,40.4165,0.4271,Hotel & Spa Peñíscola Plaza Suites
387,Aranda De Duero,ES,66.06,clear sky,41.6704,-3.6892,Hotel Villa de Aranda
388,La Cruz,MX,79.7,overcast clouds,23.9167,-106.9,Jesús angel
389,Point Pleasant,US,79.97,light rain,40.0832,-74.0682,Point Pleasant Manor
390,Gizo,SB,84.29,broken clouds,-8.103,156.8419,Imagination Island
391,Lompoc,US,75.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
394,Atlantic City,US,78.98,scattered clouds,39.3643,-74.4229,Courtyard by Marriott Atlantic City Beach Block
395,Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
396,Eastbourne,GB,73.09,clear sky,50.7687,0.2845,Grand Hotel
398,Sao Felix Do Xingu,BR,70.2,few clouds,-6.6447,-51.995,Rio Xingu Camping
399,Labuhan,ID,85.66,scattered clouds,-6.8844,112.2051,DoubleFAG
408,La Roche-Sur-Yon,FR,77.27,scattered clouds,46.6667,-1.4333,"The Originals City, Hôtel Napoléon, La Roche-sur-Yon (Inter-Hotel)"
409,Taybad,IR,89.98,clear sky,34.74,60.7756,لی پوش jean center
410,Bundaberg,AU,73.22,clear sky,-24.85,152.35,Takalvan Motel
413,Along,IN,76.5,light rain,28.1667,94.7667,Hotel West
415,Sosva,RU,72.54,clear sky,59.1766,61.8558,Gostinitsa
416,Norman Wells,CA,66.24,broken clouds,65.282,-126.8329,Heritage Hotel
417,Muisne,EC,73.72,overcast clouds,0.6,-80.0333,Quinta Samay
418,Robertsport,LR,76.95,light rain,6.7533,-11.3686,Kwepunha Retreat
419,Artesia,US,85.48,clear sky,33.8658,-118.0831,Sheraton Cerritos Hotel
420,Palaikastron,GR,72.77,clear sky,35.2,26.25,Marina Village
422,Gat,IL,77.4,clear sky,31.61,34.7642,OlusHome
424,Mackenzie,CA,68.22,broken clouds,55.2999,-123.1698,Hilton Shop
425,San Quintin,MX,69.12,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
426,Naranjal,EC,70.29,overcast clouds,-2.6667,-79.6167,Media Naranja
428,Vila Velha,BR,66.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
429,Kamiiso,JP,75.58,broken clouds,41.8167,140.65,Business Inn Abe
430,Waingapu,ID,83.5,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
431,Hot Springs,US,89.31,few clouds,34.5037,-93.0552,Embassy Suites by Hilton Hot Springs Hotel & Spa
432,Singojuruh,ID,79.61,broken clouds,-8.3167,114.2333,Rumah Nita Selvia
434,Namatanai,PG,85.28,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
435,Jumla,NP,72.61,broken clouds,29.2747,82.1838,Royal Garden Hotel
436,Haapiti,PF,78.53,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
439,Atar,MR,88.99,clear sky,20.5169,-13.0499,Oumou Elghoura
440,Shiyan,CN,76.28,overcast clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
441,Drumheller,CA,65.12,overcast clouds,51.4617,-112.7101,Ramada by Wyndham Drumheller Hotel & Suites
443,Winneba,GH,73.08,scattered clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
445,Nizwa,OM,87.4,scattered clouds,22.9333,57.5333,Orient Apartments
446,Riverton,US,83.44,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
447,Mingaora,PK,83.73,broken clouds,34.7758,72.3625,Burj Al Swat
449,Buraydah,SA,82.85,clear sky,26.326,43.975,Mövenpick Qassim
450,Saint-Joseph,RE,66.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
452,Springdale,US,84.11,clear sky,36.1867,-94.1288,Springdale Inn
456,Shimoda,JP,80.96,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
458,Paranaiba,BR,70.52,overcast clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
461,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
462,Autazes,BR,78.08,broken clouds,-3.5797,-59.1306,Hotel Tupinambá
463,Oxford,GB,73.36,few clouds,51.7522,-1.256,Malmaison Oxford
464,Tura,IN,81.07,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
468,Mankono,CI,70.48,overcast clouds,8.0586,-6.1897,Hôtel cotonputeur
469,Mackay,AU,66.69,clear sky,-21.15,149.2,International Lodge Motel
471,Jiuquan,CN,85.71,scattered clouds,39.7432,98.5174,Jiuquan Hotel
474,Tuy Hoa,VN,89.65,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
475,Linjiang,CN,77.34,scattered clouds,41.8069,126.9078,格林豪泰
476,Prichard,US,84.15,clear sky,30.7388,-88.0789,Best Inn Formerly Known as M Star Hotel
478,Puerto Del Rosario,ES,71.35,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
479,Puerto Madero,MX,81.97,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
481,Scarborough,GB,71.91,broken clouds,54.2797,-0.4044,The Grand Hotel Scarborough
482,Sulangan,PH,81.25,overcast clouds,11.1373,123.7228,Maia's Beach Resort
485,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
487,Los Llanos De Aridane,ES,67.75,broken clouds,28.6585,-17.9182,Valle Aridane
489,San Fernando,PH,89.33,scattered clouds,15.0286,120.6898,Maharlika Hostel
490,Mayumba,GA,70.54,overcast clouds,-3.432,10.6554,LIKWALE LODGE
492,Kulhudhuffushi,MV,82.15,overcast clouds,6.6221,73.07,Haajy Guest House 1
495,Kieta,PG,84.56,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
496,Conde,BR,72.86,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
500,Charters Towers,AU,73.51,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
501,Wladyslawowo,PL,66.0,overcast clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
505,Alyangula,AU,77.97,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
508,Besikduzu,TR,73.29,overcast clouds,41.052,39.2284,Belek Palas Hotel
511,Kalugumalai,IN,87.13,overcast clouds,9.15,77.7167,Ganesh Bhavan(Sangu Hotel)
512,Mangaldai,IN,80.38,overcast clouds,26.4333,92.0333,Hotel Siddarth Palace
515,Akyab,MM,85.24,overcast clouds,20.15,92.9,Hotel Memory
517,Mayo,US,78.91,clear sky,38.8876,-76.5119,Resorts Resource Group International
519,Cleethorpes,GB,73.65,few clouds,53.5605,-0.0323,Comat Hotel
521,Sinnamary,GF,77.88,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
524,Isiro,CD,65.82,light rain,2.7739,27.616,Guest House Hewa Bora
525,Ayorou,NE,78.35,light rain,14.7308,0.9174,Hotel Amenokal
530,Vuktyl,RU,72.91,scattered clouds,63.8567,57.3094,Mini-Hotel Lokomotiv
532,Venice,US,84.99,broken clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
534,Douentza,ML,84.72,light rain,14.9951,-2.9517,Ogomono Doumbo
535,Leh,IN,69.71,few clouds,34.1667,77.5833,Hotel Ladakh Greens
536,Saint Anthony,US,84.92,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
542,Lianyuan,CN,79.0,overcast clouds,27.6883,111.6642,Lianyuan Hotel
543,Rio De Janeiro,BR,71.6,broken clouds,-22.9028,-43.2075,Hotel cruz de ouro
544,Luganville,VU,82.27,few clouds,-15.5333,167.1667,The Espiritu Hotel
545,Altamont,US,84.04,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
548,Pacifica,US,70.75,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
549,Flin Flon,CA,70.79,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
550,Alice Springs,AU,72.95,clear sky,-23.7,133.8833,Desert Palms Alice Springs
552,Junagarh,IN,80.78,overcast clouds,19.8667,82.9333,Hotel Swagat
553,Khandbari,NP,78.33,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
557,Escanaba,US,76.96,clear sky,45.7453,-87.0646,Sunset Lodge
558,Plaine Magnien,MU,69.4,broken clouds,-20.4286,57.6531,Holiday Inn Mauritius Mon Tresor
559,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
560,Znamenskoye,RU,68.67,broken clouds,57.1281,73.8282,"Gostinitsa ""Kolos"""
562,Mozarlandia,BR,69.82,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
563,Sungairaya,ID,88.18,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
564,Shingu,JP,82.78,light rain,33.7333,135.9833,Shingu UI Hotel
568,Rancho Palos Verdes,US,79.41,clear sky,33.7445,-118.387,Terranea Resort
569,Veraval,IN,80.76,overcast clouds,20.9,70.3667,Lords Inn Somnath
570,Martapura,ID,86.09,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
571,San Francisco,US,71.26,few clouds,37.7749,-122.4194,Edwardian Hotel
575,Kaduna,NG,67.53,overcast clouds,10.5222,7.4383,HAMDALA HOTEL
578,Pag,HR,73.98,scattered clouds,44.445,15.0575,Hotel Meridijan
