City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ribeira Grande,PT,38.5167,-28.7,71.87,91,22,1.16,few clouds
79,Busselton,AU,-33.65,115.3333,59.79,67,0,8.77,clear sky
80,Kovdor,RU,67.5662,30.4758,54.39,90,94,2.33,overcast clouds
81,Roma,US,43.2128,-75.4557,70.72,95,100,12.66,overcast clouds
82,Saint-Philippe,RE,-21.3585,55.7679,67.59,76,64,17.96,light rain
83,Sisimiut,GL,66.9395,-53.6735,44.51,93,100,3.51,light rain
84,Hilo,US,19.7297,-155.09,75.25,93,100,4.61,moderate rain
85,Geraldton,AU,-28.7667,114.6,64.81,72,0,9.22,clear sky
86,Pangody,RU,65.85,74.4859,68.59,43,27,10.89,scattered clouds
87,Khatanga,RU,71.9667,102.5,47.39,74,100,16.13,overcast clouds
88,Hashtrud,IR,37.4779,47.0508,74.75,26,0,6.8,clear sky
89,Bengkulu,ID,-3.8004,102.2655,84.07,67,42,4.5,scattered clouds
90,Piacabucu,BR,-10.4056,-36.4344,73.69,79,10,11.92,clear sky
91,Kaitangata,NZ,-46.2817,169.8464,44.55,86,100,8.95,light rain
92,Arraial Do Cabo,BR,-22.9661,-42.0278,69.19,91,100,14.58,overcast clouds
93,Vanimo,PG,-2.6741,141.3028,82.02,78,80,4.21,broken clouds
94,New Norfolk,AU,-42.7826,147.0587,48.92,59,39,1.45,scattered clouds
95,Georgetown,MY,5.4112,100.3354,86.9,81,20,0.0,moderate rain
96,Caravelas,BR,-17.7125,-39.2481,69.66,89,23,4.76,few clouds
97,Chumikan,RU,54.7183,135.315,52.93,98,100,10.85,light rain
98,Natal,BR,-5.795,-35.2094,77.22,88,40,5.75,moderate rain
99,Tasiilaq,GL,65.6145,-37.6368,35.76,87,9,2.1,clear sky
100,Cherskiy,RU,68.75,161.3,51.1,56,51,22.35,broken clouds
101,Touros,BR,-5.1989,-35.4608,74.77,89,90,11.81,moderate rain
102,The Valley,AI,18.217,-63.0578,82.26,75,1,19.75,clear sky
103,Ancud,CL,-41.8697,-73.8203,42.22,83,25,10.6,scattered clouds
104,Alamosa,US,37.4695,-105.87,73.38,40,20,5.75,few clouds
105,Bethel,US,41.3712,-73.414,75.07,93,99,1.01,overcast clouds
106,Kirakira,SB,-10.4544,161.9205,83.35,71,25,6.31,scattered clouds
107,Saint Pete Beach,US,27.7253,-82.7412,84.99,76,0,4.61,clear sky
108,Port Elizabeth,ZA,-33.918,25.5701,60.31,96,75,8.05,broken clouds
109,Padang,ID,-0.9492,100.3543,82.45,57,27,4.38,moderate rain
110,Vao,NC,-22.6667,167.4833,72.86,84,96,16.75,overcast clouds
111,Lodja,CD,-3.4833,23.4333,72.05,83,100,2.21,overcast clouds
112,Souillac,MU,-20.5167,57.5167,68.38,77,75,11.5,light rain
113,Bathsheba,BB,13.2167,-59.5167,81.21,87,40,17.27,scattered clouds
114,Balkhash,KZ,46.844,74.9804,75.81,35,75,8.95,broken clouds
115,Fortuna,US,40.5982,-124.1573,59.92,78,4,1.99,clear sky
116,Cayenne,GF,4.9333,-52.3333,77.09,1,0,0.0,clear sky
117,Port Lincoln,AU,-34.7333,135.8667,54.23,59,100,14.99,overcast clouds
118,Hefei,CN,31.8639,117.2808,91.42,58,40,6.71,scattered clouds
119,Takhtamygda,RU,54.1,123.5667,81.19,51,93,3.09,overcast clouds
120,Progreso,MX,21.2833,-89.6667,80.71,82,1,11.97,clear sky
121,Saldanha,ZA,-33.0117,17.9442,42.85,73,0,13.04,clear sky
122,Esperance,AU,-33.8667,121.9,60.44,71,4,7.2,clear sky
123,Samarai,PG,-10.6167,150.6667,81.63,78,39,8.72,scattered clouds
124,Castro,BR,-24.7911,-50.0119,56.62,99,99,1.77,overcast clouds
125,Komsomolskiy,UZ,40.4272,71.7189,88.52,22,0,11.5,clear sky
126,Bluff,NZ,-46.6,168.3333,45.81,71,97,15.82,overcast clouds
127,Guane,CU,22.2025,-84.0875,78.1,84,0,4.47,clear sky
128,Salalah,OM,17.0151,54.0924,75.29,100,100,3.44,light intensity drizzle
129,Kibaya,TZ,-5.3,36.5667,54.75,85,77,5.12,broken clouds
130,Poum,NC,-20.2333,164.0167,76.48,83,73,10.18,broken clouds
131,San Cristobal,VE,7.7669,-72.225,68.18,81,100,2.44,overcast clouds
132,Berdyaush,RU,55.1619,59.1464,70.54,73,83,11.7,broken clouds
133,Marrakesh,MA,31.6315,-8.0083,78.87,57,24,6.91,few clouds
134,Urubicha,BO,-15.3833,-62.95,69.48,67,28,1.48,scattered clouds
135,Pacific Grove,US,36.6177,-121.9166,65.88,83,0,3.44,clear sky
136,Vostok,RU,46.4856,135.8833,69.76,79,96,3.6,overcast clouds
137,Santarem,BR,-2.4431,-54.7083,77.13,94,75,4.61,broken clouds
138,Tarabuco,BO,-19.1667,-64.9167,45.64,81,80,5.32,broken clouds
139,Haines Junction,CA,60.7522,-137.5108,55.35,67,36,2.3,scattered clouds
140,Lebu,CL,-37.6167,-73.65,43.43,81,82,2.89,broken clouds
141,Bjerringbro,DK,56.378,9.6607,57.76,87,3,6.08,clear sky
142,San Jose,US,37.3394,-121.895,81.68,56,20,10.36,few clouds
143,Dikson,RU,73.5069,80.5464,45.18,81,50,15.9,scattered clouds
144,Farmington,US,36.7281,-108.2187,90.28,20,0,3.44,clear sky
145,Harper,LR,4.375,-7.7169,73.9,79,100,10.6,overcast clouds
146,Codrington,AU,-38.2667,141.9667,52.61,56,11,8.23,few clouds
147,Zherdevka,RU,51.8486,41.4606,59.09,77,5,12.08,clear sky
148,Mumford,GH,5.2618,-0.759,73.99,86,44,10.22,scattered clouds
149,Kurchum,KZ,48.5722,83.6542,73.4,32,0,16.37,clear sky
150,Brownsville,US,25.9018,-97.4975,84.15,78,0,11.5,clear sky
151,Yulara,AU,-25.2406,130.9889,71.74,18,0,8.01,clear sky
152,Liverpool,GB,53.4106,-2.9779,76.28,59,20,9.22,few clouds
153,Ramnagar,IN,29.4,79.1167,90.81,58,15,4.72,light rain
154,Ambulu,ID,-8.345,113.6058,83.39,64,27,8.21,scattered clouds
155,Severo-Kurilsk,RU,50.6789,156.125,57.18,87,75,8.48,broken clouds
156,Avarua,CK,-21.2078,-159.775,75.25,69,40,6.91,scattered clouds
157,Aden,YE,12.7794,45.0367,83.07,73,100,6.31,overcast clouds
158,Lahij,YE,13.1667,44.5833,85.46,47,100,4.27,overcast clouds
159,Dingle,PH,10.9995,122.6711,81.68,81,100,3.85,overcast clouds
160,Zaraza,VE,9.3503,-65.3245,72.77,96,32,4.32,scattered clouds
161,Mandurah,AU,-32.55,115.7,59.92,60,0,10.16,clear sky
162,Jamestown,US,42.097,-79.2353,71.19,87,20,8.05,few clouds
163,Hermanus,ZA,-34.4187,19.2345,52.81,80,99,6.11,overcast clouds
164,Coloso,CO,9.4915,-75.3615,76.51,93,94,3.58,overcast clouds
165,Northam,GB,51.0333,-4.2167,69.26,51,51,12.48,broken clouds
166,San Juan,AR,-31.5375,-68.5364,44.1,54,0,1.9,clear sky
167,Kefamenanu,ID,-9.4467,124.4781,79.48,45,76,7.9,broken clouds
168,Cairns,AU,-16.9167,145.7667,81.07,58,6,12.66,clear sky
169,Iranshahr,IR,27.2025,60.6848,91.74,52,75,4.61,broken clouds
170,Benemerito De Las Americas,MX,16.5167,-90.6439,73.33,99,90,3.8,overcast clouds
171,Oranjemund,NA,-28.55,16.4333,53.15,95,7,4.29,clear sky
172,Bibiani,GH,6.4635,-2.3194,64.74,97,77,1.41,broken clouds
173,Ponta Do Sol,PT,32.6667,-17.1,68.72,79,0,6.58,clear sky
174,Ulladulla,AU,-35.35,150.4667,50.43,78,100,9.89,light rain
175,Loreto,MX,22.2667,-101.9667,61.25,74,97,13.06,overcast clouds
176,Havre,FR,49.5833,0.3333,82.17,30,0,12.66,clear sky
177,Emerald,AU,-23.5333,148.1667,71.35,42,0,8.63,clear sky
178,Portobelo,PA,9.55,-79.65,80.11,89,60,3.96,broken clouds
179,Mandalgovi,MN,45.7625,106.2708,82.65,22,97,19.89,overcast clouds
180,Tiksi,RU,71.6872,128.8694,33.67,87,100,23.35,overcast clouds
181,Kudahuvadhoo,MV,2.6708,72.8944,82.06,76,100,17.22,moderate rain
182,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.67,99,70,0.67,broken clouds
183,Hamilton,US,39.1834,-84.5333,74.17,91,0,0.0,mist
184,Cabo San Lucas,MX,22.8909,-109.9124,87.1,74,0,3.0,clear sky
185,Ahipara,NZ,-35.1667,173.1667,62.11,85,88,6.55,overcast clouds
186,Skibbereen,IE,51.55,-9.2667,66.11,89,98,6.85,overcast clouds
187,Te Anau,NZ,-45.4167,167.7167,41.63,98,100,4.68,overcast clouds
188,Linxia,CN,35.6003,103.2064,70.97,50,1,5.79,clear sky
189,Quatre Cocos,MU,-20.2078,57.7625,69.1,71,77,23.04,light rain
190,Lorengau,PG,-2.0226,147.2712,81.18,77,100,2.46,overcast clouds
191,Portree,GB,57.4129,-6.1942,56.52,95,100,5.57,overcast clouds
192,Walvis Bay,NA,-22.9575,14.5053,54.09,93,100,10.36,overcast clouds
193,Belle Glade,US,26.6845,-80.6676,80.01,83,100,4.88,overcast clouds
194,Koroni,GR,36.8,21.95,78.51,52,0,6.08,clear sky
195,Mareeba,AU,-17.0,145.4333,76.44,63,0,4.07,clear sky
196,Carutapera,BR,-1.195,-46.02,74.17,94,44,5.73,scattered clouds
197,College,US,64.8569,-147.8028,63.0,61,75,10.36,broken clouds
198,Baruun-Urt,MN,46.6806,113.2792,79.23,24,72,1.45,broken clouds
199,Gboko,NG,7.3179,8.9951,71.06,87,96,8.03,overcast clouds
200,Leningradskiy,RU,69.3833,178.4167,34.41,99,100,13.53,light snow
201,Monywa,MM,22.1167,95.1333,93.69,49,100,8.97,overcast clouds
202,Malartic,CA,48.1335,-78.1328,71.71,94,29,7.43,light rain
203,Selimbar,RO,45.7667,24.2,48.63,87,0,3.44,clear sky
204,Ostersund,SE,63.1792,14.6357,53.62,81,100,11.5,overcast clouds
205,Laguna,US,38.421,-121.4238,93.4,17,0,10.36,clear sky
206,Pangnirtung,CA,66.1451,-65.7125,46.51,80,100,1.68,overcast clouds
207,Kandalaksha,RU,67.162,32.4123,55.09,90,73,1.83,broken clouds
208,Mae Hong Son,TH,19.3003,97.9685,89.74,62,40,4.61,scattered clouds
209,Omsukchan,RU,62.5333,155.8,79.3,51,87,11.25,overcast clouds
210,Flinders,AU,-34.5833,150.8552,53.38,82,86,10.27,light rain
211,Pevek,RU,69.7008,170.3133,34.16,91,92,2.93,overcast clouds
212,Carora,VE,10.1755,-70.0827,75.63,81,87,9.33,overcast clouds
213,Kouroussa,GN,10.65,-9.8833,70.75,98,98,6.06,overcast clouds
214,Marawi,PH,7.9986,124.2928,75.67,79,100,2.71,overcast clouds
215,Chokurdakh,RU,70.6333,147.9167,49.44,38,23,14.12,few clouds
216,Lagoa,PT,39.05,-27.9833,68.65,89,100,11.1,overcast clouds
217,Takaka,NZ,-40.85,172.8,54.55,94,97,7.38,light rain
218,Broome,US,42.2506,-75.833,72.01,85,100,11.5,overcast clouds
219,Alihe,CN,50.5667,123.7167,74.7,81,100,3.87,overcast clouds
220,Abu Kamal,SY,34.4506,40.9171,89.98,22,2,7.36,clear sky
221,Monopoli,IT,40.9559,17.2896,78.71,71,0,8.84,clear sky
222,Nanortalik,GL,60.1432,-45.2371,46.87,80,86,10.67,overcast clouds
223,Vardo,NO,70.3705,31.1107,57.18,82,75,8.05,broken clouds
224,Southbridge,US,42.0751,-72.0334,74.55,96,100,1.01,moderate rain
225,Mount Gambier,AU,-37.8333,140.7667,53.02,53,33,6.22,scattered clouds
226,Faya,SA,18.3851,42.4509,66.31,29,84,2.84,broken clouds
227,Arlit,NE,18.7369,7.3853,87.91,37,93,6.98,overcast clouds
228,Pizarro,CO,4.9533,-77.366,78.06,85,97,4.5,overcast clouds
229,Worland,US,44.0169,-107.9554,86.9,18,0,14.97,clear sky
230,Aripuana,BR,-9.1667,-60.6333,71.74,52,0,2.55,clear sky
231,Shirokiy,RU,49.758,129.523,73.85,78,100,3.67,overcast clouds
232,Karratha,AU,-20.7377,116.8463,79.43,30,5,10.76,clear sky
233,Rincon,US,32.296,-81.2354,80.83,83,0,4.61,clear sky
234,Hobyo,SO,5.3505,48.5268,75.61,80,99,23.67,overcast clouds
235,Yaan,NG,7.3833,8.5667,70.25,87,83,5.59,broken clouds
236,Vrangel,RU,42.7297,133.0839,68.7,78,96,3.74,overcast clouds
237,Vandra,EE,58.6481,25.0361,62.26,91,96,3.87,light rain
238,Forssa,FI,60.8146,23.6215,59.41,90,95,2.44,overcast clouds
239,Provideniya,RU,64.3833,-173.3,44.71,70,75,18.01,broken clouds
240,Bauchi,NG,10.5,10.0,70.36,86,98,4.63,overcast clouds
241,Lavrentiya,RU,65.5833,-171.0,39.81,71,88,21.16,overcast clouds
242,Jacmel,HT,18.2342,-72.5347,84.04,83,1,1.45,clear sky
243,Marsh Harbour,BS,26.5412,-77.0636,81.88,77,6,12.24,clear sky
244,Saint-Louis,SN,16.3333,-15.0,85.64,62,34,11.41,scattered clouds
245,Vila Do Maio,CV,15.1333,-23.2167,75.99,86,100,11.7,overcast clouds
246,Sault Sainte Marie,CA,46.5168,-84.3333,68.56,86,0,3.44,clear sky
247,Airai,TL,-8.9266,125.4092,71.02,39,63,3.38,broken clouds
248,Batagay,RU,67.6333,134.6333,54.07,79,100,7.72,overcast clouds
249,Burdur,TR,37.7203,30.2908,63.3,55,20,13.8,few clouds
250,Mikhaylovka,RU,50.06,43.2379,60.78,68,0,10.8,clear sky
251,Katsuura,JP,35.1333,140.3,78.82,85,100,22.1,heavy intensity rain
252,Nome,US,64.5011,-165.4064,42.87,81,100,18.41,moderate rain
253,Mezen,RU,65.8522,44.24,58.32,90,100,5.08,light rain
254,Seymchan,RU,62.8833,152.4333,84.16,50,100,7.7,overcast clouds
255,Talara,PE,-4.5772,-81.2719,62.74,88,81,16.69,broken clouds
256,Port Blair,IN,11.6667,92.75,84.24,79,40,12.66,scattered clouds
257,Bandar-E Lengeh,IR,26.5579,54.8807,91.51,70,97,6.91,haze
258,Novobiryusinskiy,RU,56.9578,97.7076,65.88,56,81,10.92,light rain
259,Raymondville,US,26.4815,-97.7831,84.31,72,0,15.99,clear sky
260,Barabinsk,RU,55.3571,78.357,64.98,66,65,7.83,broken clouds
261,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.27,89,28,7.67,scattered clouds
262,Victoria,HK,22.2855,114.1577,91.45,88,100,1.99,overcast clouds
263,Mananjary,MG,-21.2167,48.3333,67.8,82,100,9.82,light rain
264,Vila,PT,42.0304,-8.1588,56.7,84,72,5.21,broken clouds
265,Pimenta Bueno,BR,-11.6725,-61.1936,70.36,51,13,3.91,few clouds
266,Sao Filipe,CV,14.8961,-24.4956,74.97,82,96,7.29,overcast clouds
267,Bogatoye,RU,53.0601,51.3325,69.24,76,10,17.6,clear sky
268,Puerto Leguizamo,CO,-0.1934,-74.7819,70.25,98,68,1.68,broken clouds
269,Dutlwe,BW,-23.9833,23.9,49.08,68,0,8.61,clear sky
270,Dehloran,IR,32.6941,47.2679,104.61,8,0,4.18,clear sky
271,Envira,BR,-7.3,-70.2167,75.36,84,100,1.52,overcast clouds
272,Inongo,CD,-1.95,18.2667,64.85,99,87,1.68,overcast clouds
273,Ucluelet,CA,48.9329,-125.5528,60.1,85,1,1.01,clear sky
274,Hailey,US,43.5196,-114.3153,75.06,12,0,6.91,clear sky
275,Carnarvon,AU,-24.8667,113.6333,71.96,38,0,10.25,clear sky
276,Adiake,CI,5.2863,-3.304,74.12,82,100,7.87,overcast clouds
277,Canchungo,GW,12.0672,-16.0333,77.16,88,97,4.85,moderate rain
